order_id,customer_id,order_placement_date,on_time,in_full,otif
SAMPLE000001,100001,15-05-2025,1,0,0
SAMPLE000002,100006,16-05-2025,0,1,0
SAMPLE000003,100006,13-05-2025,1,1,1
SAMPLE000004,100007,13-05-2025,0,1,0
SAMPLE000005,100007,16-05-2025,1,1,1
SAMPLE000006,100007,16-05-2025,0,0,0
SAMPLE000007,100007,16-05-2025,0,1,0
SAMPLE000008,100005,13-05-2025,1,0,0
SAMPLE000009,100007,14-05-2025,1,1,1
SAMPLE000010,100008,14-05-2025,0,1,0
SAMPLE000011,100007,16-05-2025,1,1,1
SAMPLE000012,100001,16-05-2025,1,1,1
SAMPLE000013,100001,13-05-2025,1,1,1
SAMPLE000014,100007,16-05-2025,1,1,1
SAMPLE000015,100008,15-05-2025,0,1,0
SAMPLE000016,100010,12-05-2025,0,0,0
SAMPLE000017,100007,15-05-2025,1,1,1
SAMPLE000018,100005,13-05-2025,0,1,0
SAMPLE000019,100007,16-05-2025,0,1,0
SAMPLE000020,100005,12-05-2025,1,1,1
SAMPLE000021,100004,12-05-2025,1,1,1
SAMPLE000022,100005,14-05-2025,1,1,1
SAMPLE000023,100010,14-05-2025,0,1,0
SAMPLE000024,100005,13-05-2025,1,0,0
SAMPLE000025,100009,16-05-2025,1,1,1
SAMPLE000026,100002,12-05-2025,1,0,0
SAMPLE000027,100002,13-05-2025,0,1,0
SAMPLE000028,100008,13-05-2025,0,1,0
SAMPLE000029,100003,12-05-2025,1,0,0
SAMPLE000030,100003,16-05-2025,1,1,1
