order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
SAMPLE000001,15-05-2025,100001,900007,247,18-05-2025,18-05-2025,178,0,1,0
SAMPLE000002,16-05-2025,100006,900008,393,20-05-2025,23-05-2025,393,1,0,0
SAMPLE000003,13-05-2025,100006,900003,467,18-05-2025,18-05-2025,467,1,1,1
SAMPLE000004,13-05-2025,100007,900004,91,17-05-2025,18-05-2025,91,1,0,0
SAMPLE000005,16-05-2025,100007,900002,365,19-05-2025,19-05-2025,365,1,1,1
SAMPLE000006,16-05-2025,100007,900007,137,19-05-2025,21-05-2025,77,0,0,0
SAMPLE000007,16-05-2025,100007,900008,215,21-05-2025,22-05-2025,215,1,0,0
SAMPLE000008,13-05-2025,100005,900007,258,15-05-2025,15-05-2025,211,0,1,0
SAMPLE000009,14-05-2025,100007,900008,122,19-05-2025,19-05-2025,122,1,1,1
SAMPLE000010,14-05-2025,100008,900007,412,19-05-2025,21-05-2025,412,1,0,0
SAMPLE000011,16-05-2025,100007,900002,140,21-05-2025,21-05-2025,140,1,1,1
SAMPLE000012,16-05-2025,100001,900004,174,21-05-2025,21-05-2025,174,1,1,1
SAMPLE000013,13-05-2025,100001,900002,101,16-05-2025,16-05-2025,101,1,1,1
SAMPLE000014,16-05-2025,100007,900001,309,20-05-2025,20-05-2025,309,1,1,1
SAMPLE000015,15-05-2025,100008,900003,63,18-05-2025,20-05-2025,63,1,0,0
SAMPLE000016,12-05-2025,100010,900007,155,17-05-2025,18-05-2025,118,0,0,0
SAMPLE000017,15-05-2025,100007,900002,277,20-05-2025,20-05-2025,277,1,1,1
SAMPLE000018,13-05-2025,100005,900007,125,16-05-2025,17-05-2025,125,1,0,0
SAMPLE000019,16-05-2025,100007,900004,122,21-05-2025,23-05-2025,122,1,0,0
SAMPLE000020,12-05-2025,100005,900004,221,14-05-2025,14-05-2025,221,1,1,1
SAMPLE000021,12-05-2025,100004,900008,204,14-05-2025,14-05-2025,204,1,1,1
SAMPLE000022,14-05-2025,100005,900006,169,19-05-2025,19-05-2025,169,1,1,1
SAMPLE000023,14-05-2025,100010,900007,382,17-05-2025,18-05-2025,382,1,0,0
SAMPLE000024,13-05-2025,100005,900006,375,16-05-2025,16-05-2025,336,0,1,0
SAMPLE000025,16-05-2025,100009,900001,272,20-05-2025,20-05-2025,272,1,1,1
SAMPLE000026,12-05-2025,100002,900005,343,16-05-2025,16-05-2025,332,0,1,0
SAMPLE000027,13-05-2025,100002,900004,198,17-05-2025,18-05-2025,198,1,0,0
SAMPLE000028,13-05-2025,100008,900002,467,18-05-2025,20-05-2025,467,1,0,0
SAMPLE000029,12-05-2025,100003,900001,482,15-05-2025,15-05-2025,441,0,1,0
SAMPLE000030,16-05-2025,100003,900004,271,19-05-2025,19-05-2025,271,1,1,1
